"Species","Year","Num_of_trees","sss"
"CAOVL",1968,25,1
"CAOVL",1969,25,1
"CAOVL",1970,25,1
"CAOVL",1971,25,1
"CAOVL",1972,25,1
"CAOVL",1973,25,1
"CAOVL",1974,25,1
"CAOVL",1975,25,1
"CAOVL",1976,25,1
"CAOVL",1977,25,1
"CAOVL",1978,25,1
"CAOVL",1979,25,1
"CAOVL",1980,25,1
"CAOVL",1981,25,1
"CAOVL",1982,25,1
"CAOVL",1983,25,1
"CAOVL",1984,25,1
"CAOVL",1985,25,1
"CAOVL",1986,25,1
"CAOVL",1987,25,1
"CAOVL",1988,25,1
"CAOVL",1989,25,1
"CAOVL",1990,25,1
"CAOVL",1991,25,1
"CAOVL",1992,25,1
"CAOVL",1993,25,1
"CAOVL",1994,25,1
"CAOVL",1995,25,1
"CAOVL",1996,24,1
"CAOVL",1997,24,1
"CAOVL",1998,24,1
"CAOVL",1999,24,1
"CAOVL",2000,24,1
"CAOVL",2001,24,1
"CAOVL",2002,24,1
"CAOVL",2003,24,1
"CAOVL",2004,24,1
"CAOVL",2005,23,1
"CAOVL",2006,23,1
"CAOVL",2007,21,0.99
"CAOVL",2008,20,0.984
"CAOVL",2009,15,0.945
"CAOVL",2010,2,0.468
"CAOVL",2011,1,0.296
"CAOVL",2012,1,0.296
"CAOVL",2013,1,0.296
"CAOVL",2014,1,0.296
"CAOVL",2015,1,0.296
"CATO",1868,1,0.199
"CATO",1869,1,0.199
"CATO",1870,1,0.199
"CATO",1871,1,0.199
"CATO",1872,1,0.199
"CATO",1873,1,0.199
"CATO",1874,1,0.199
"CATO",1875,1,0.199
"CATO",1876,1,0.199
"CATO",1877,1,0.199
"CATO",1878,1,0.199
"CATO",1879,1,0.199
"CATO",1880,1,0.199
"CATO",1881,1,0.199
"CATO",1882,1,0.199
"CATO",1883,1,0.199
"CATO",1884,1,0.199
"CATO",1885,1,0.199
"CATO",1886,1,0.199
"CATO",1887,1,0.199
"CATO",1888,1,0.199
"CATO",1889,2,0.347
"CATO",1890,2,0.347
"CATO",1891,2,0.347
"CATO",1892,2,0.347
"CATO",1893,2,0.347
"CATO",1894,2,0.347
"CATO",1895,2,0.347
"CATO",1896,2,0.347
"CATO",1897,2,0.347
"CATO",1898,2,0.347
"CATO",1899,2,0.347
"CATO",1900,2,0.347
"CATO",1901,2,0.347
"CATO",1902,2,0.347
"CATO",1903,2,0.347
"CATO",1904,2,0.347
"CATO",1905,2,0.347
"CATO",1906,3,0.46
"CATO",1907,3,0.46
"CATO",1908,3,0.46
"CATO",1909,3,0.46
"CATO",1910,3,0.46
"CATO",1911,3,0.46
"CATO",1912,3,0.46
"CATO",1913,3,0.46
"CATO",1914,3,0.46
"CATO",1915,3,0.46
"CATO",1916,3,0.46
"CATO",1917,3,0.46
"CATO",1918,3,0.46
"CATO",1919,5,0.624
"CATO",1920,8,0.78
"CATO",1921,8,0.78
"CATO",1922,9,0.818
"CATO",1923,9,0.818
"CATO",1924,9,0.818
