"year","month","cld","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet","PETminusPRE"
1968,5,70.80000305,14.90000057,0.74000001,3.5,108.5,128.3000031,8.199999809,15.60000038,23.10000038,12.80000019,13.03999996,-19.8000031
1968,6,63.40000153,15.30000019,0,4.300000191,129.00000573,96.59999847,14.30000019,21.89999962,29.60000038,19.60000038,12.13999939,32.40000726
1968,7,62.60000229,13.80000019,0,4.300000191,133.300005921,94.09999847,17.20000076,24.10000038,31,22.39999962,10.75,39.200007451
1968,8,56.70000076,14.80000019,0,4.200000286,130.200008866,102.8000031,16.80000114,24.20000076,31.60000038,22.60000038,11.84999943,27.400005766
1968,9,54.10000229,16.20000076,0,3,90,56.20000076,11.60000038,19.70000076,27.80000114,19.30000114,7.239999771,33.79999924
1968,10,58.60000229,13.69999981,1.659999967,2.100000143,65.100004433,68.20000458,7.300000191,14.10000038,21,12.40000057,8.429999352,-3.100000147
1968,11,71.40000153,11.80000019,11.17999935,1.700000048,51.00000144,79.40000153,2.400000095,8.300000191,14.19999981,7.300000191,11.35999966,-28.40000009
1968,12,67.09999847,11.19999981,25.98999977,1,31,42.29999924,-4.700000286,0.900000036,6.5,4.800000191,9.449999809,-11.29999924
1969,1,70.5,11.60000038,27.59000015,0.900000036,27.900001116,45.10000229,-6.400000095,-0.600000024,5.200000286,4.400000095,10.93999958,-17.200001174
1969,2,70,9.699999809,22.61999893,1.300000072,36.400002016,39.10000229,-3.799999952,1.100000024,6,4.5,10.17999935,-2.700000274
1969,3,64.70000458,14,23.20999908,2.200000048,68.200001488,49.29999924,-2.200000048,4.800000191,11.80000019,5.5,9.859999657,18.900002248
1969,4,63.60000229,15.80000019,3.949999809,3.799999952,113.99999856,46,5.700000286,13.60000038,21.5,9,8.849999428,67.99999856
1969,5,61.70000076,15.90000057,0,4.400000095,136.400002945,51.29999924,10.30000019,18.20000076,26.20000076,13.19999981,9.159999847,85.100003705
1969,6,66.80000305,14.19999981,0,4.599999905,137.99999715,87.30000305,15.69999981,22.80000114,29.89999962,18.60000038,12.07999992,50.6999941
1969,7,68.09999847,12.5,0,4.099999905,127.099997055,193.6999969,18,24.20000076,30.5,22.60000038,15.14999962,-66.599999845
1969,8,60.60000229,13.90000057,0,3.5,108.5,122.5,15.5,22.39999962,29.39999962,22.89999962,12.30000019,-14
1969,9,62.90000153,13.90000057,0,2.799999952,83.99999856,89.5,12.10000038,19,26,17.60000038,10.51000023,-5.50000144000001
1969,10,61.5,15.90000057,5.429999828,2.200000048,68.200001488,26.80000114,5,12.90000057,20.89999962,11.10000038,5.449999809,41.400000348
1969,11,71.30000305,12.5,16.57999992,1.200000048,36.00000144,56.29999924,0.300000012,6.5,12.80000019,7.800000191,8.899999619,-20.2999978
1969,12,71.30000305,9.199999809,25.46999931,0.900000036,27.900001116,117.3000031,-4.200000286,0.400000006,5,4.5,15.96999931,-89.400001984
1970,1,66.5,12.10000038,29.36999893,1,31,29.80000114,-8.800000191,-2.700000048,3.400000095,3.299999952,9.880000114,1.19999886
1970,2,62.60000229,13.10000038,23.82999992,1.600000024,44.800000672,64.40000153,-5.099999905,1.5,8.100000381,4.400000095,11.67000008,-19.600000858
1970,3,67.80000305,12.69999981,22.96999931,1.899999976,58.899999256,73.20000458,-2,4.400000095,10.80000019,5.700000286,11.34000015,-14.300005324
1970,4,63.29999924,14.60000038,5.259999752,3.400000095,102.00000285,99.30000305,5,12.30000019,19.60000038,8.900000572,13.06999969,2.6999998
1970,5,63.90000153,15.40000057,0,4.200000286,130.200008866,61.79999924,11.10000038,18.80000114,26.5,14.5,10.67999935,68.400009626
1970,6,58.79999924,14.69999981,0,4.599999905,137.99999715,77.40000153,14.80000019,22.10000038,29.5,18.89999962,8.579999924,60.59999562
1970,7,69.5,13.80000019,0,3.900000095,120.900002945,167.5,17,23.89999962,30.80000114,24,13.38999939,-46.599997055
1970,8,57.20000076,14,0,3.900000095,120.900002945,77.20000458,16.39999962,23.39999962,30.39999962,22.10000038,9.819999695,43.699998365
1970,9,59,16.10000038,0,3.600000143,108.00000429,47.40000153,13.80000019,21.80000114,29.89999962,18.5,7.049999714,60.60000276
1970,10,65.09999847,13.40000057,1.00999999,2.100000143,65.100004433,89.70000458,7.900000095,14.60000038,21.30000114,12.69999981,9.329999924,-24.600000147
1970,11,70.70000458,11.40000057,12.43999958,1.300000072,39.00000216,121.5,1.899999976,7.599999905,13.30000019,8.100000381,13,-82.49999784
1970,12,66.90000153,11.30000019,24.02999878,1.300000072,40.300002232,66,-2.900000095,2.799999952,8.5,4.800000191,11.14999962,-25.699997768
1971,1,73,11.40000057,28.25,1,31,67.09999847,-7.200000286,-1.5,4.200000286,3.700000048,11.7699995,-36.09999847
1971,2,69.59999847,12,22.51999855,1.399999976,39.199999328,95.5,-3.700000048,2.299999952,8.300000191,5,14.35999966,-56.300000672
1971,3,72.09999847,13.5,21.77000046,2.5,77.5,44.40000153,-1.5,5.300000191,12.10000038,4.700000286,10.32999992,33.09999847
1971,4,60.40000153,17.70000076,9.93999958,4.200000286,126.00000858,44.90000153,2.900000095,11.69999981,20.60000038,6.300000191,9.43999958,81.10000705
1971,5,62.29999924,14.40000057,0.280000001,3.900000095,120.900002945,200.3000031,8.900000572,16.10000038,23.30000114,12,17.40999985,-79.400000155
1971,6,63.40000153,13.40000057,0,4.300000191,129.00000573,90.70000458,15.69999981,22.39999962,29.10000038,20,11.09999943,38.30000115
1971,7,66.70000458,13.90000057,0,4.099999905,127.099997055,96.90000153,16.20000076,23.10000038,30.10000038,21.10000038,10.21999931,30.199995525
