Variable,Tmin,Tmean,Tmax,PPT
F1944.02,-3.0869999,2.1500001,7.3836002,59.9570045
F1944.03,-1.4083,4.1700001,9.7433996,131.8930054
F1944.04,4.4323001,10.5700006,16.7164993,66.3220062
F1944.05,12.7419004,20.2700005,27.7910995,68.6050034
F1944.06,15.1199999,22.4400005,29.7672005,52.8480034
F1944.07,16.3241997,23.8500004,31.3691006,58.215004
F1944.08,15.6075001,22.7000008,29.7891998,81.6380005
F1944.09,13.0696001,18.9400005,24.8033009,194.332016
F1944.10,5.217,12.3600006,19.5128002,106.4480057
F1944.11,1.2348,6.3400002,11.4527998,39.5730019
F1944.12,-5.5359998,-0.96,3.6219001,77.0610046
F1945.01,-7.3622999,-2.8000002,1.757,53.5150032
F1945.02,-3.8108001,1.6400001,7.0876999,56.4370041
F1945.03,4.7620001,11.7300005,18.7075005,31.5250015
F1945.04,5.586,13.2900009,21.0014992,84.4330063
F1945.05,8.0453997,15.250001,22.4622002,98.904007
F1945.06,13.6455002,20.8400002,28.0326004,90.8930054
F1945.07,16.4708004,22.6000004,28.7268009,192.6520081
F1945.08,14.5896997,21.6900005,28.7852001,140.2830048
F1945.09,14.4412003,20.4500008,26.4608002,219.0370178
F1945.10,4.8119001,12.3300009,19.8528996,18.5170002
F1945.11,1.557,7.2800002,13.0032997,80.2930069
F1945.12,-5.7660999,-1.7,2.3645,75.2870026
F1946.01,-4.3586001,0.8700001,6.0931001,49.3950005
F1946.02,-3.9326,2,7.9394002,53.215004
F1946.03,3.6728001,9.7700005,15.8704004,74.4800034
F1946.04,4.1205001,11.4200001,18.7290001,30.9100018
F1946.05,9.7770004,16.3700008,22.9542999,157.7200012
F1946.06,13.0879002,20.2000008,27.3122005,94.0450058
F1946.07,14.9250002,22.0200005,29.1151009,82.6100006
F1946.08,13.5299997,20.0200005,26.5025997,86.8570023
F1946.09,11.0138998,18.7000008,26.3799992,98.0070038
F1946.10,6.8860002,14.1500006,21.4090996,81.3040009
F1946.11,2.5469999,8.9800005,15.4221001,21.5250015
F1946.12,-2.2386999,4.04,10.3247004,38.9050026
F1947.01,-1.6241,3.6500001,8.9272003,90.6690063
F1947.02,-7.6595998,-2.0600002,3.5455999,38.9850006
F1947.03,-3.6787,1.6600001,6.9970002,55.2970009
F1947.04,5.7504001,13.2300005,20.7040005,38.6640015
F1947.05,8.9091997,16.3400002,23.7623005,123.1190033
F1947.06,12.9982004,19.8700008,26.7469997,84.2780075
F1947.07,15.1004,21.6900005,28.2859001,112.1800079
F1947.08,17.5846004,23.8000011,30.0244999,87.8360062
F1947.09,13.0768003,19.1500015,25.2227993,112.3320084
F1947.10,8.948,16.0100002,23.0753002,55.3200035
F1947.11,1.0282,5.5700002,10.1202002,144.3990021
F1947.12,-4.5928001,0.83,6.2551999,19.4780006
F1948.01,-8.6110001,-3.4700003,1.678,85.9160004
F1948.02,-4.9951,1.33,7.6571999,23.0170002
F1948.03,1.6612999,7.8200002,13.9793997,84.3610077
F1948.04,6.0040998,12.7300005,19.4472008,98.166008
F1948.05,9.9959002,16.4099998,22.8150005,139.2480011
F1948.06,14.1548004,21.210001,28.2574005,82.9990005
F1948.07,16.6688995,22.9700012,29.2667007,95.6270065
F1948.08,15.0838003,21.4300003,27.7667007,197.3480072
F1948.09,11.6883001,17.8600006,24.0391006,91.2590027
F1948.10,5.2290001,11.210001,17.1965008,116.9810028
F1948.11,3.3673,8.8400002,14.3121004,139.6690063
F1948.12,-2.4748001,2.47,7.4175,101.9710083
F1949.01,-0.4728,4.48,9.4284,122.2220078
F1949.02,-0.8042,4.9200001,10.6381998,46.5470009
F1949.03,-0.036,5.7500005,11.5370998,65.6160049
F1949.04,4.2126999,10.7400007,17.2751999,89.9600067
F1949.05,9.6299,16.5600014,23.4897995,128.904007
F1949.06,14.6275997,21.3500004,28.0657997,132.7160034
F1949.07,18.6483994,24.6100006,30.5727005,98.6050034
F1949.08,16.1499004,22.2300014,28.3178997,148.7940063
F1949.09,10.3439999,16.6200008,22.9029999,70.538002
F1949.10,8.8775997,15.0700006,21.2535,121.6700058
F1949.11,0.7527,6.7100005,12.6604996,28.9690018
F1949.12,-2.4807,3.1000001,8.6885004,52.2190018
F1950.01,0.1548,6.5900002,13.0339003,48.6290016
F1950.02,-2.6069,1.84,6.2862,59.3680038
F1950.03,-2.6579001,3.3300002,9.3100996,88.0540009
F1950.04,2.2483001,9.3100004,16.3677006,26.0030022
F1950.05,10.3030996,16.4700012,22.6306992,134.4450073
F1950.06,13.4327002,20.3100014,27.1886005,89.9020081
F1950.07,15.2898998,21.6600018,28.0242004,107.1230087
F1950.08,14.6681995,21.4000015,28.1343002,58.1270027
F1950.09,11.8790998,17.1600018,22.4319992,134.9380035
F1950.10,7.0078001,13.3700008,19.7331009,74.2910004
F1950.11,-0.1441,6.2100005,12.5597,92.6830063
F1950.12,-5.8218999,-0.92,3.9909,116.8280029
F1951.01,-4.3120999,1.5000001,7.3211999,47.5970039
F1951.02,-3.7348001,1.9300001,7.5872002,73.2100067
F1951.03,-0.255,5.2500005,10.7490997,111.8760071
F1951.04,4.5124998,11.0300007,17.5412006,91.1800079
F1951.05,9.2659998,16.1800003,23.0902996,59.7290039
F1951.06,14.1829996,20.7600002,27.3398991,170.6320038
F1951.07,16.4265995,23.2700005,30.1224995,77.1460037
F1951.08,14.2326002,21.8500004,29.4703007,42.7980003
F1951.09,11.6947002,19.1900005,26.6863003,29.2150021
F1951.10,7.1830001,14.420001,21.6620007,23.3370018
F1951.11,-1.6846,3.9200001,9.5270996,125.303009
F1951.12,-3.4351001,2.1300001,7.6863999,101.0260086
F1952.01,-2.2958,2.8500001,7.9960999,102.0330048
F1952.02,-2.6112001,2.9200001,8.4491997,59.6100044
F1952.03,-0.9957,4.3600001,9.7213001,117.3560028
F1952.04,5.8511,11.750001,17.6506004,188.0650024
F1952.05,9.6760998,15.9900007,22.3054008,92.7040024
F1952.06,15.4415998,22.7400017,30.0387001,90.7740021
F1952.07,17.3358994,24.4100018,31.4867992,66.3759995
F1952.08,15.7845001,22.3000011,28.8066998,122.8450089
F1952.09,10.7142,18.0799999,25.4550991,104.154007
F1952.10,3.4331999,11.3000002,19.1644001,29.6660023
F1952.11,1.9723001,7.4600005,12.9377003,196.2330017
F1952.12,-3.0690999,1.4300001,5.9333,65.7200012
F1953.01,-2.3862,2.7500002,7.8938999,97.4240036
F1953.02,-2.0383,4,10.0288,38.125
F1953.03,0.821,6.3000002,11.7792997,145.7680054
F1953.04,4.7981,10.9800005,17.1695995,78.4070053
F1953.05,12.2880001,18.9200001,25.5562992,151.5160065
F1953.06,14.2673998,21.2800007,28.2943001,61.571003
F1953.07,15.6365004,23.8000011,31.9542007,36.8889999
F1953.08,14.5632,22.4000015,30.2434006,59.9740028
F1953.09,10.9539003,18.8200016,26.6933994,57.6470032
F1953.10,5.5602002,14.0800009,22.6019001,54.8030014
F1953.11,-0.3809,6.6100001,13.5964003,40.2150002
F1953.12,-2.7881,3.0300002,8.8409004,76.6210022
F1954.01,-6.0057998,-0.11,5.7940998,62.4760017
F1954.02,-2.6222999,3.9800003,10.5824003,31.0770016
F1954.03,-0.5215,5.2900004,11.1114998,114.5120087
F1954.04,6.4116998,13.6800003,20.9482994,85.4710007
F1954.05,8.0499001,14.5500011,21.0510006,91.1130066
F1954.06,13.8902998,21.1700001,28.4570007,69.4580002
F1954.07,14.8126001,22.8400002,30.8770008,73.8620071
F1954.08,15.6129999,22.0300007,28.4468002,116.5460052
F1954.09,12.5375004,20.1600018,27.780899,32.9029999
F1954.10,7.6588998,14.6400003,21.6266003,165.927002
F1954.11,-0.1134,5.0700002,10.2594004,63.9920044
F1954.12,-3.9092,0.97,5.8460002,86.4830017
F1955.01,-5.7126002,-0.59,4.5425,8.9370003
F1955.02,-5.2557001,1.09,7.4257998,57.1780014
F1955.03,0.9858,7.0400004,13.0894003,111.5920029
F1955.04,6.6011,13.3300009,20.0657005,72.7580032
F1955.05,10.1915998,17.6100006,25.0382996,69.3990021
F1955.06,11.5655003,18.5100002,25.4473991,116.4300079
F1955.07,18.2472992,25.2700005,32.2933006,28.8710022
F1955.08,17.8206005,23.6800003,29.5363998,320.4500122
F1955.09,12.5867004,18.4800014,24.3794994,41.2330017
F1955.10,6.0335002,13.3200006,20.6117992,58.1150017
F1955.11,-0.9076,5.3700004,11.6469002,41.1590004
F1955.12,-6.2585001,-0.77,4.7090001,5.1440001
F1956.01,-5.6195002,-0.7,4.2140999,55.432003
F1956.02,-2.3266001,3.2400002,8.7976999,74.4850006
F1956.03,-1.2519,4.75,10.7463999,83.5600052
F1956.04,3.8392,10.4500008,17.0533009,53.2160034
F1956.05,8.3466997,16.059,23.7730999,49.7770042
F1956.06,13.7320995,20.9200001,28.1042995,62.1380043
F1956.07,16.3255005,22.6400013,28.9610996,233.4850159
F1956.08,15.1527996,21.9100018,28.6602001,76.8920059
F1956.09,10.7153997,17.1600018,23.6077003,127.9180069
F1956.10,7.8397999,13.4800005,19.1282005,158.8320007
F1956.11,0.6462,6.6700006,12.6995001,56.7570038
F1956.12,0.4749,6.0200005,11.5608997,50.1330032
F1957.01,-6.5581999,-1.1600001,4.2323999,61.1950035
F1957.02,-1.6317,3.6800001,8.9990997,71.6210022
F1957.03,0.0636,5.5000005,10.9343996,52.0920029
F1957.04,6.4649,13.2400007,20.0172005,85.4150009
F1957.05,9.9874001,17.4800014,24.9806004,60.7500038
F1957.06,15.2880001,21.9700012,28.6602001,110.8880081
F1957.07,15.0423002,22.8500004,30.6502991,35.2940025
F1957.08,13.7484999,21.7000008,29.6557007,27.8370018
F1957.09,13.5349998,19.7400017,25.9538994,114.6810074
F1957.10,4.4566002,10.7400007,17.0177994,92.5870056
F1957.11,1.8724,7.3000002,12.7351999,86.5700073
F1957.12,-2.3905001,3.0000002,8.3816996,105.6530075
F1958.01,-5.9492998,-1.24,3.4712999,99.9610062
F1958.02,-7.3217001,-2.5900002,2.1501999,73.7610016
F1958.03,-1.0420001,2.9200001,6.8730001,153.9400024
F1958.04,5.1870999,11.7700005,18.3462009,105.8050079
F1958.05,9.1807003,16.0400009,22.9067993,100.9980011
F1958.06,12.4890003,19.25,26.0016003,101.1320038
F1958.07,17.4811001,23.5500011,29.6256008,178.6900024
F1958.08,15.1943998,21.5400009,27.8859997,111.4700089
F1958.09,11.1373997,18.3900013,25.6327991,35.6190033
F1958.10,5.5338001,12.6900005,19.8516998,61.3610039
F1958.11,2.0680001,8.1300001,14.1975002,46.4020004
F1958.12,-7.4608998,-1.7500001,3.9551001,27.229002
F1959.01,-7.0583,-1.01,5.0324998,52.7020035
F1959.02,-4.6880999,2.029,8.7486,26.6600018
F1959.03,-1.9531,5.1600003,12.2690001,76.663002
F1959.04,5.7563,13.0500002,20.3404007,108.6980057
F1959.05,11.2075996,18.4100018,25.6077003,73.6960068
F1959.06,14.0740995,21.1700001,28.2611008,103.6010056
F1959.07,16.7397003,23.1600018,29.5783005,129.8890076
F1959.08,17.2968006,24.0100002,30.7255001,77.4260025
F1959.09,12.6723003,19.9800014,27.2824001,56.5290031
F1959.10,8.2193003,14.3000011,20.3736,156.3860016
F1959.11,-0.0863,5.8600001,11.8141003,52.8530006
F1959.12,-1.9256999,3.1100001,8.1357002,64.614006
F1960.01,-3.5474,1.3100001,6.1687999,53.9700012
F1960.02,-4.0019002,0.85,5.6989999,109.2510071
F1960.03,-6.3596001,-0.96,4.4316001,68.5570068
F1960.04,5.9130001,13.750001,21.5872002,72.1550064
F1960.05,8.9005003,15.2000008,21.4923992,180.9060059
F1960.06,13.2649002,20.3900013,27.5219002,113.1700058
F1960.07,15.0459003,21.9000015,28.7572002,73.0110016
F1960.08,16.5951004,23.0900002,29.5893993,114.9200058
F1960.09,13.0754995,18.8800011,24.6886005,103.4430084
F1960.10,6.0496998,12.7200003,19.3922005,33.4660034
F1960.11,0.9815,7.6100001,14.2290001,36.0230026
F1960.12,-9.0530005,-2.6100001,3.8353,41.0830002
F1961.01,-8.9289999,-3.2500002,2.4193001,63.7560043
F1961.02,-3.5330999,1.9700001,7.4773998,134.4700012
F1961.03,1.1677001,6.8700004,12.5799999,90.0230026
F1961.04,3.0811,9,14.9259005,128.2710114
F1961.05,7.8706999,14.4400005,21.0091991,93.4620056
F1961.06,13.4441996,20.460001,27.4671001,112.6710052
F1961.07,16.3435993,22.9100018,29.4810009,68.9260025
F1961.08,16.4099007,22.6400013,28.8794003,92.2780075
F1961.09,14.4616003,21.2200012,27.9752007,61.7960014
F1961.10,6.0725002,13.750001,21.4272003,64.0870056
F1961.11,3.2839999,8.0799999,12.8792,62.2520027
F1961.12,-4.2465,0.6300001,5.5110998,103.8530045
F1962.01,-5.7961998,-0.31,5.1750998,57.5800018
F1962.02,-4.8168998,0.42,5.6475,77.387001
F1962.03,-1.5568,3.9900002,9.5436001,113.6320038
F1962.04,4.6998,11.4300003,18.1632996,85.2550049
F1962.05,11.7763996,18.5600014,25.3379002,97.3080063
F1962.06,14.1711998,20.6400013,27.1026001,115.916008
F1962.07,14.5443001,21.1000004,27.6518993,81.3000031
F1962.08,14.4158001,21.6900005,28.9703007,20.1080017
F1962.09,10.5992002,16.9500008,23.2954998,61.8950043
F1962.10,6.8855,13.8500004,20.8222008,49.1190033
F1962.11,-0.2133,4.8700004,9.9476995,156.2440033
F1962.12,-7.3374,-1.6800001,3.9742999,93.2170029
F1963.01,-8.2377005,-2.26,3.7244999,35.4860001
F1963.02,-9.1128998,-2.8200002,3.4751,47.5330009
F1963.03,0.7045,7.1300001,13.5653,129.5890045
F1963.04,4.7694001,12.2300005,19.6991005,28.7180004
F1963.05,8.3813,16.0790005,23.7693996,35.3540001
F1963.06,13.2321997,20.3700008,27.5163994,128.5780029
F1963.07,14.8852997,22.460001,30.0280991,36.6110001
F1963.08,14.1606998,21.5800018,29.007,59.3720016
F1963.09,9.4373999,16.9200001,24.3992004,70.875
F1963.10,5.5865002,14.5500011,23.5098991,0.565
F1963.11,2.5151999,8.0600004,13.5974998,216.3000031
F1963.12,-7.6048002,-2.73,2.1501999,49.7410011
F1964.01,-6.3304,-0.11,6.1171999,102.5000076
F1964.02,-6.1279001,-0.45,5.2196002,93.1430054
F1964.03,-0.2172,6.0300002,12.2788,65.012001
F1964.04,4.2907,10.6100006,16.9232998,133.5980072
F1964.05,9.9307003,17.5200005,25.1016006,35.5340004
F1964.06,13.8498001,21.5500011,29.2530994,44.7590027
F1964.07,16.3129997,23.2800007,30.2457008,80.989006
F1964.08,14.1431999,21.2800007,28.4232006,52.6180038
F1964.09,10.7236004,18.2400017,25.7576008,114.5170059
F1964.10,3.6463001,10.8100004,17.9689999,74.8280029
F1964.11,1.7429,8.4700003,15.1913996,72.7170029
F1964.12,-2.5446999,2.5100002,7.5735998,67.0450058
F1965.01,-6.8692002,-0.97,4.9366002,109.8730087
F1965.02,-5.3225002,1.3700001,8.0557003,87.4830017
F1965.03,-1.6983,3.7600002,9.2118998,112.1880035
F1965.04,4.2385998,10.6500006,17.0547009,62.2730026
F1965.05,11.7083998,19.1100006,26.5077991,63.4840012
F1965.06,12.4569998,19.7300014,27.0112,38.6020012
F1965.07,15.4737997,22.710001,29.9391994,50.3520012
F1965.08,14.9377003,22.2800007,29.6310005,64.8730011
F1965.09,13.2742996,19.8500004,26.4307995,71.0839996
F1965.10,4.6064,11.6100006,18.6093006,70.1380005
F1965.11,1.4058,7.3400002,13.2758999,19.8050003
F1965.12,-2.6738999,3.3100002,9.2994003,6.8590002
F1966.01,-7.4693999,-2.6300001,2.2028,96.6980057
F1966.02,-4.9081001,0.03,4.9615998,66.9970016
F1966.03,-0.5792,6.2800002,13.1328001,55.1620026
F1966.04,3.4073999,9.0800009,14.7493,104.1820068
F1966.05,8.3542004,15.7800007,23.2119999,73.6070023
F1966.06,12.8424997,20.8800011,28.927,39.5230026
F1966.07,16.1226997,24.0400009,31.9487991,39.5140038
F1966.08,15.3303003,22.7000008,30.0643997,33.5870018
F1966.09,11.0167999,17.1400013,23.2590008,256.8600159
F1966.10,3.8485,11.1100006,18.3731995,75.4720001
F1966.11,0.445,6.9400005,13.4392996,86.7080078
F1966.12,-4.3765001,0.49,5.349,68.7740021
F1967.01,-3.3519001,2.49,8.3365002,35.2860031
F1967.02,-7.5734,-1.4300001,4.7178001,37.3560028
F1967.03,-0.6861,5.4400001,11.5563002,123.5170059
F1967.04,5.2445998,12.5200005,19.8031998,22.9950008
F1967.05,6.5427999,13.3700008,20.2038994,111.1510086
F1967.06,12.9986,20.6500015,28.3010998,43.7170029
F1967.07,15.8306999,21.9400005,28.0464001,110.8180084
F1967.08,14.7768002,20.9500008,27.1210003,195.5050049
F1967.09,9.1091003,15.9900007,22.8696003,66.137001
F1967.10,4.7909002,11.6000004,18.4141006,105.1880035
F1967.11,-1.1433001,4.3600001,9.868,37.0290031
F1967.12,-3.2639,2.0700002,7.4053001,104.939003
F1968.01,-8.8620996,-3.3000002,2.2683001,91.4920044
F1968.02,-7.1841002,-1.2900001,4.6002998,3.7460003
F1968.03,0.7666,7.5400004,14.3170004,95.9340057
