"Species","Num_of_trees","sss","Year"
"FRAM",32,0.942,1934
"FRAM",33,0.946,1934
"FRAM",34,0.949,1934
"FRAM",35,0.953,1935
"FRAM",36,0.956,1935
"FRAM",37,0.959,1936
"FRAM",38,0.962,1936
"FRAM",39,0.965,1937
"FRAM",40,0.968,1937
"FRAM",41,0.971,1937
"FRAM",42,0.973,1937
"FRAM",43,0.976,1938
"FRAM",44,0.978,1940
"FRAM",45,0.98,1940
"FRAM",46,0.982,1942
"FRAM",47,0.984,1942
"FRAM",48,0.986,1942
"FRAM",49,0.988,1943
"FRAM",50,0.99,1944
"FRAM",51,0.992,1944
"FRAM",52,0.994,1945
"FRAM",53,0.995,1946
"FRAM",54,0.997,1948
"FRAM",55,0.999,1948
"FRAM",56,1,1949
"FRNI",1,0.288,1871
"FRNI",2,0.477,1904
"FRNI",3,0.61,1905
"FRNI",4,0.708,1912
"FRNI",5,0.785,1916
"FRNI",6,0.845,1916
"FRNI",7,0.895,1917
"FRNI",8,0.936,1940
"FRNI",9,0.97,1942
"FRNI",10,1,1943
"JUNI",1,0.303,1880
"JUNI",2,0.476,1891
"JUNI",3,0.587,1898
"JUNI",4,0.664,1904
"JUNI",5,0.722,1907
"JUNI",6,0.766,1910
"JUNI",7,0.8,1913
"JUNI",8,0.829,1914
"JUNI",9,0.852,1914
"JUNI",10,0.872,1915
"JUNI",11,0.889,1915
"JUNI",12,0.903,1916
"JUNI",13,0.916,1918
"JUNI",14,0.927,1923
"JUNI",15,0.937,1924
"JUNI",16,0.946,1925
"JUNI",17,0.954,1928
"JUNI",18,0.961,1929
"JUNI",19,0.967,1930
"JUNI",20,0.973,1933
"JUNI",21,0.979,1934
"JUNI",22,0.984,1935
"JUNI",23,0.988,1943
"JUNI",24,0.992,1945
"JUNI",25,0.996,1946
"JUNI",26,1,1950
"LITU",1,0.183,1870
"LITU",2,0.312,1880
"LITU",3,0.408,1906
"LITU",4,0.482,1908
"LITU",5,0.541,1913
"LITU",6,0.589,1914
"LITU",7,0.629,1915
"LITU",8,0.663,1915
"LITU",9,0.691,1917
"LITU",10,0.716,1918
"LITU",11,0.738,1918
"LITU",12,0.757,1919
"LITU",13,0.774,1919
"LITU",14,0.789,1919
"LITU",15,0.803,1920
"LITU",16,0.815,1920
"LITU",17,0.826,1921
"LITU",18,0.836,1921
"LITU",19,0.846,1922
"LITU",20,0.854,1922
"LITU",21,0.862,1922
"LITU",22,0.869,1922
"LITU",23,0.876,1922
"LITU",24,0.883,1923
"LITU",25,0.888,1923
"LITU",26,0.894,1923
"LITU",27,0.899,1923
"LITU",28,0.904,1924
"LITU",29,0.909,1924
"LITU",30,0.913,1924
"LITU",31,0.917,1924
"LITU",32,0.921,1925
"LITU",33,0.924,1925
"LITU",34,0.928,1925
"LITU",35,0.931,1926
"LITU",36,0.934,1926
"LITU",37,0.937,1927
"LITU",38,0.94,1928
"LITU",39,0.943,1928
"LITU",40,0.945,1929
"LITU",41,0.948,1929
"LITU",42,0.95,1929
"LITU",43,0.952,1930
"LITU",44,0.955,1930
"LITU",45,0.957,1930
"LITU",46,0.959,1931
"LITU",47,0.961,1931
"LITU",48,0.962,1932
"LITU",49,0.964,1933
"LITU",50,0.966,1933
"LITU",51,0.968,1933
"LITU",52,0.969,1933
"LITU",53,0.971,1935
"LITU",54,0.972,1935
"LITU",55,0.974,1936
"LITU",56,0.975,1936
"LITU",57,0.976,1937
"LITU",58,0.978,1937
"LITU",59,0.979,1938
"LITU",60,0.98,1938
"LITU",61,0.981,1939
"LITU",62,0.983,1939
"LITU",63,0.984,1940
"LITU",64,0.985,1940
"LITU",65,0.986,1940
"LITU",66,0.987,1942
"LITU",67,0.988,1943
"LITU",68,0.989,1943
"LITU",69,0.99,1944
"LITU",70,0.991,1945
"LITU",71,0.992,1946
"LITU",72,0.992,1947
"LITU",73,0.993,1948
"LITU",74,0.994,1949
"LITU",75,0.995,1949
"LITU",76,0.996,1950
"LITU",77,0.996,1950
"LITU",78,0.997,1950
"LITU",79,0.998,1950
"LITU",80,0.999,1950
"LITU",81,0.999,1950
"LITU",82,1,1950
"PIST",1,0.248,1931
"PIST",2,0.407,1935
"PIST",3,0.518,1935
"PIST",4,0.599,1936
"PIST",5,0.661,1936
"PIST",6,0.71,1937
"PIST",7,0.75,1937
"PIST",8,0.783,1938
"PIST",9,0.811,1938
"PIST",10,0.835,1939
"PIST",11,0.855,1940
"PIST",12,0.873,1940
"PIST",13,0.889,1940
"PIST",14,0.902,1940
"PIST",15,0.915,1943
"PIST",16,0.926,1944
"PIST",17,0.936,1945
"PIST",18,0.945,1945
"PIST",19,0.953,1945
"PIST",20,0.961,1946
"PIST",21,0.968,1946
"PIST",22,0.974,1946
"PIST",23,0.98,1947
"PIST",24,0.986,1948
"PIST",25,0.991,1950
"PIST",26,0.996,1950
"PIST",27,1,1950
"QUAL",1,0.249,1792
"QUAL",2,0.402,1796
"QUAL",3,0.506,1797
"QUAL",4,0.582,1806
"QUAL",5,0.639,1839
"QUAL",6,0.683,1860
"QUAL",7,0.719,1866
"QUAL",8,0.749,1868
"QUAL",9,0.774,1868
"QUAL",10,0.795,1868
"QUAL",11,0.813,1870
"QUAL",12,0.828,1871
"QUAL",13,0.842,1871
"QUAL",14,0.854,1871
"QUAL",15,0.865,1872
"QUAL",16,0.875,1874
"QUAL",17,0.883,1875
"QUAL",18,0.891,1877
"QUAL",19,0.899,1878
"QUAL",20,0.905,1878
"QUAL",21,0.911,1880
"QUAL",22,0.917,1881
"QUAL",23,0.922,1882
"QUAL",24,0.927,1882
"QUAL",25,0.931,1885
"QUAL",26,0.935,1886
"QUAL",27,0.939,1887
"QUAL",28,0.943,1891
"QUAL",29,0.946,1893
"QUAL",30,0.949,1895
"QUAL",31,0.952,1895
"QUAL",32,0.955,1895
"QUAL",33,0.958,1895
"QUAL",34,0.96,1895
"QUAL",35,0.962,1896
"QUAL",36,0.965,1896
"QUAL",37,0.967,1897
"QUAL",38,0.969,1897
"QUAL",39,0.971,1898
"QUAL",40,0.973,1901
"QUAL",41,0.975,1906
"QUAL",42,0.976,1907
"QUAL",43,0.978,1910
"QUAL",44,0.979,1914
"QUAL",45,0.981,1916
"QUAL",46,0.982,1916
"QUAL",47,0.984,1917
"QUAL",48,0.985,1917
"QUAL",49,0.986,1918
"QUAL",50,0.987,1921
"QUAL",51,0.989,1921
"QUAL",52,0.99,1922
"QUAL",53,0.991,1923
"QUAL",54,0.992,1924
"QUAL",55,0.993,1925
"QUAL",56,0.994,1925
"QUAL",57,0.995,1927
"QUAL",58,0.996,1931
"QUAL",59,0.997,1932
"QUAL",60,0.998,1933
"QUAL",61,0.998,1933
"QUAL",62,0.999,1936
"QUAL",63,1,1950
"QUPR",1,0.199,1777
"QUPR",2,0.336,1830
"QUPR",3,0.435,1848
"QUPR",4,0.511,1870
"QUPR",5,0.571,1875
"QUPR",6,0.619,1877
"QUPR",7,0.659,1880
"QUPR",8,0.693,1881
"QUPR",9,0.721,1882
"QUPR",10,0.746,1882
"QUPR",11,0.767,1890
"QUPR",12,0.786,1892
"QUPR",13,0.802,1893
"QUPR",14,0.817,1894
"QUPR",15,0.83,1896
"QUPR",16,0.842,1898
"QUPR",17,0.853,1899
"QUPR",18,0.863,1900
"QUPR",19,0.872,1900
"QUPR",20,0.88,1903
"QUPR",21,0.888,1903
"QUPR",22,0.895,1903
"QUPR",23,0.901,1904
"QUPR",24,0.907,1906
"QUPR",25,0.913,1910
"QUPR",26,0.918,1915
"QUPR",27,0.923,1916
"QUPR",28,0.928,1916
"QUPR",29,0.932,1917
"QUPR",30,0.936,1919
"QUPR",31,0.94,1919
"QUPR",32,0.944,1919
"QUPR",33,0.947,1922
"QUPR",34,0.95,1922
"QUPR",35,0.954,1924
"QUPR",36,0.956,1924
"QUPR",37,0.959,1925
"QUPR",38,0.962,1925
"QUPR",39,0.965,1927
"QUPR",40,0.967,1930
"QUPR",41,0.969,1930
"QUPR",42,0.972,1930
"QUPR",43,0.974,1930
"QUPR",44,0.976,1932
"QUPR",45,0.978,1932
"QUPR",46,0.98,1933
"QUPR",47,0.981,1934
"QUPR",48,0.983,1935
"QUPR",49,0.985,1936
"QUPR",50,0.987,1936
"QUPR",51,0.988,1938
"QUPR",52,0.99,1938
"QUPR",53,0.991,1938
"QUPR",54,0.992,1939
"QUPR",55,0.994,1940
"QUPR",56,0.995,1943
"QUPR",57,0.996,1943
"QUPR",58,0.998,1945
"QUPR",59,0.999,1948
"QUPR",60,1,1949
"QURU",1,0.301,1877
"QURU",2,0.467,1885
"QURU",3,0.572,1886
"QURU",4,0.645,1886
"QURU",5,0.698,1894
"QURU",6,0.738,1895
"QURU",7,0.77,1902
"QURU",8,0.796,1903
"QURU",9,0.817,1904
"QURU",10,0.835,1904
"QURU",11,0.85,1910
"QURU",12,0.863,1913
"QURU",13,0.875,1914
"QURU",14,0.885,1917
"QURU",15,0.894,1917
"QURU",16,0.902,1917
"QURU",17,0.909,1917
"QURU",18,0.915,1920
"QURU",19,0.921,1920
"QURU",20,0.926,1922
"QURU",21,0.931,1922
"QURU",22,0.935,1922
"QURU",23,0.939,1922
"QURU",24,0.943,1923
"QURU",25,0.947,1925
"QURU",26,0.95,1925
"QURU",27,0.953,1926
"QURU",28,0.956,1926
"QURU",29,0.959,1926
"QURU",30,0.961,1927
"QURU",31,0.963,1927
"QURU",32,0.966,1927
"QURU",33,0.968,1928
"QURU",34,0.97,1929
"QURU",35,0.972,1930
"QURU",36,0.973,1930
"QURU",37,0.975,1930
"QURU",38,0.977,1931
"QURU",39,0.978,1932
"QURU",40,0.98,1933
"QURU",41,0.981,1933
"QURU",42,0.982,1934
"QURU",43,0.983,1934
"QURU",44,0.985,1934
"QURU",45,0.986,1935
"QURU",46,0.987,1935
"QURU",47,0.988,1936
"QURU",48,0.989,1939
"QURU",49,0.99,1940
"QURU",50,0.991,1941
"QURU",51,0.992,1942
"QURU",52,0.993,1942
"QURU",53,0.994,1942
"QURU",54,0.994,1942
"QURU",55,0.995,1942
"QURU",56,0.996,1942
"QURU",57,0.997,1943
"QURU",58,0.997,1943
"QURU",59,0.998,1943
"QURU",60,0.999,1944
"QURU",61,0.999,1944
"QURU",62,1,1946
"QUVE",1,0.378,1824
"QUVE",2,0.551,1889
"QUVE",3,0.651,1889
"QUVE",4,0.716,1893
"QUVE",5,0.762,1895
"QUVE",6,0.795,1896
"QUVE",7,0.821,1902
"QUVE",8,0.842,1903
"QUVE",9,0.859,1904
"QUVE",10,0.872,1905
"QUVE",11,0.884,1909
"QUVE",12,0.894,1909
"QUVE",13,0.903,1910
"QUVE",14,0.91,1911
"QUVE",15,0.917,1912
"QUVE",16,0.923,1912
"QUVE",17,0.928,1913
"QUVE",18,0.933,1913
"QUVE",19,0.937,1914
"QUVE",20,0.941,1915
"QUVE",21,0.944,1916
"QUVE",22,0.948,1916
"QUVE",23,0.951,1917
"QUVE",24,0.953,1917
"QUVE",25,0.956,1917
"QUVE",26,0.958,1918
"QUVE",27,0.96,1918
"QUVE",28,0.962,1918
"QUVE",29,0.964,1918
"QUVE",30,0.966,1919
"QUVE",31,0.968,1919
"QUVE",32,0.969,1919
"QUVE",33,0.971,1920
"QUVE",34,0.972,1921
"QUVE",35,0.974,1922
"QUVE",36,0.975,1922
"QUVE",37,0.976,1923
"QUVE",38,0.977,1923
"QUVE",39,0.978,1923
"QUVE",40,0.979,1923
"QUVE",41,0.98,1923
"QUVE",42,0.981,1924
"QUVE",43,0.982,1924
"QUVE",44,0.983,1925
"QUVE",45,0.984,1925
"QUVE",46,0.985,1925
"QUVE",47,0.985,1925
"QUVE",48,0.986,1926
"QUVE",49,0.987,1927
"QUVE",50,0.987,1927
"QUVE",51,0.988,1930
"QUVE",52,0.989,1930
"QUVE",53,0.989,1930
"QUVE",54,0.99,1930
"QUVE",55,0.99,1931
"QUVE",56,0.991,1931
"QUVE",57,0.991,1932
"QUVE",58,0.992,1933
"QUVE",59,0.992,1934
"QUVE",60,0.993,1934
"QUVE",61,0.993,1935
"QUVE",62,0.994,1936
"QUVE",63,0.994,1937
"QUVE",64,0.995,1937
"QUVE",65,0.995,1937
"QUVE",66,0.995,1939
"QUVE",67,0.996,1939
"QUVE",68,0.996,1939
"QUVE",69,0.996,1939
"QUVE",70,0.997,1942
"QUVE",71,0.997,1943
"QUVE",72,0.997,1943
"QUVE",73,0.998,1944
"QUVE",74,0.998,1945
"QUVE",75,0.998,1946
"QUVE",76,0.999,1946
"QUVE",77,0.999,1948
"QUVE",78,0.999,1949
"QUVE",79,0.999,1950
"QUVE",80,1,1950
"QUVE",81,1,1950
