"Species","coef","significant","ci.lower","ci.upper","variable","month"
"CACO",-0.0237741921989893,FALSE,-0.226307018638153,0.186302175333312,"Tmax","curr.feb"
"CACO",-0.19812824983372,TRUE,-0.380908661908018,-0.0039689478892431,"Tmax","curr.mar"
"CACO",0.0738443301473737,FALSE,-0.167457510133476,0.294668723507253,"Tmax","curr.apr"
"CACO",-0.0838992434244458,FALSE,-0.277481116179685,0.11682755209814,"Tmax","curr.may"
"CACO",-0.171238481686012,FALSE,-0.359219791251134,0.0173877497371872,"Tmax","curr.jun"
"CACO",-0.142839605471174,FALSE,-0.310416030559224,0.103660531619796,"Tmax","curr.jul"
"CACO",-0.0329784640550815,FALSE,-0.231088746403796,0.15952411266449,"Tmax","curr.aug"
"CACO",-0.0436876936985259,FALSE,-0.234983434775277,0.135263974164817,"PPT","prev.apr"
"CACO",0.0385385910410926,FALSE,-0.156239744392602,0.200224522123055,"PPT","prev.may"
"CACO",-0.0359391225887105,FALSE,-0.223835051563924,0.146035708590797,"PPT","prev.jun"
"CACO",0.0674896033825583,FALSE,-0.178657588012633,0.286074345545426,"PPT","prev.jul"
"CACO",0.199377159279314,TRUE,0.0053390504261497,0.378092884060697,"PPT","prev.aug"
"CACO",0.251761866128179,TRUE,0.0931426942541011,0.394192514259027,"PPT","prev.sep"
"CACO",0.0205178444877038,FALSE,-0.178362660514086,0.209238142325558,"PPT","prev.oct"
"CACO",0.0282682222783139,FALSE,-0.182483384016693,0.207894992956603,"PPT","prev.nov"
"CACO",0.0839131219380767,FALSE,-0.150656211492766,0.252744774269129,"PPT","prev.dec"
"CACO",-0.0733271392891746,FALSE,-0.250497994778894,0.107284084483814,"PPT","curr.jan"
"CACO",0.123549202203434,FALSE,-0.065588418723872,0.324860125906965,"PPT","curr.feb"
"CACO",0.148629960280954,FALSE,-0.0748557488667067,0.365214603396547,"PPT","curr.mar"
"CACO",-0.173316581108295,FALSE,-0.369643242207609,0.0549162328100983,"PPT","curr.apr"
"CACO",0.103483643412993,FALSE,-0.0784950500538287,0.290702019774178,"PPT","curr.may"
"CACO",0.100678035842279,FALSE,-0.0896695178240594,0.270641850525257,"PPT","curr.jun"
"CACO",0.207414952449552,FALSE,-0.00948710308080987,0.382244760196711,"PPT","curr.jul"
"CACO",0.174496802822369,FALSE,-0.0581009872329789,0.383441766972426,"PPT","curr.aug"
"CAGL",-0.0122951204747066,FALSE,-0.215857926682926,0.197424791381195,"Tmin","prev.apr"
"CAGL",0.0333154343120572,FALSE,-0.156992795402157,0.220439891074694,"Tmin","prev.may"
"CAGL",0.033102162029964,FALSE,-0.178530275927082,0.245548719866914,"Tmin","prev.jun"
"CAGL",0.149245923536827,FALSE,-0.0512584811833418,0.35577741948039,"Tmin","prev.jul"
"CAGL",0.166386167599951,FALSE,-0.0423885844416094,0.3713825960853,"Tmin","prev.aug"
"CAGL",-0.0261165570452327,FALSE,-0.23672128003337,0.171507159299107,"Tmin","prev.sep"
"CAGL",-0.0861436637748282,FALSE,-0.25605172544269,0.0804534392187423,"Tmin","prev.oct"
"CAGL",-0.0676449281537567,FALSE,-0.306291244663851,0.122090765556344,"Tmin","prev.nov"
"CAGL",0.0803035684618379,FALSE,-0.150628147617043,0.317257874788455,"Tmin","prev.dec"
"CAGL",-0.026497508834049,FALSE,-0.246116872805836,0.21101722454096,"Tmin","curr.jan"
