"Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","PIST",1.66786690802263,1.5561116796207,1.86092947467089,1.4356672462104,1.30271005398017,1.45645166742731,1.4962248413563,1.62946784835839,1.41448212373525,1.51513677665355,1.27411996271396,1.58040008988403
"Sum of all absolute correlations","QUAL",2.04215027764024,2.38155851663116,1.69219085463292,2.60266205916437,2.26127091760084,2.57567709103984,2.12669475328251,2.14179446791455,1.65762806741278,2.00261791230972,1.18938166853833,2.30274183592743
"Sum of all absolute correlations","QUPR",1.89673973805173,3.1011317505719,1.74591933021515,3.35678600967322,2.1970370680308,3.20520027586951,1.83923034905146,1.91124428218779,1.58761237419739,1.99295857563995,0.988063056069951,2.24736930331753
"Sum of all absolute correlations","QURU",1.94148717247794,2.63098484738087,1.75045694235183,2.68989628372078,2.20517734914411,2.71880067184452,1.99597138355167,1.95523994753462,1.91040065774325,2.45191147156799,1.29259075325651,2.26702801985068
"Sum of all absolute correlations","QUVE",1.98943670226013,2.6088761932035,1.9047931709311,2.36273924254122,2.14881717592079,2.57854000258909,2.15131292235847,2.14097409473071,1.50996861183555,2.11570771158702,0.800425511415313,2.37827070750136
"Count of Significant correlations","All",39,65,34,67,45,75,37,40,24,47,11,50
"Count of Significant correlations","CACO",3,12,4,9,4,13,4,3,1,3,1,5
"Count of Significant correlations","CAGL",2,3,3,5,2,5,0,4,1,1,0,3
"Count of Significant correlations","CAOV",2,0,1,2,1,1,2,2,1,2,1,2
"Count of Significant correlations","CATO",2,0,2,1,1,1,2,2,2,2,2,2
"Count of Significant correlations","FAGR",3,5,4,2,3,3,3,3,4,7,1,3
"Count of Significant correlations","FRAM",2,4,2,4,4,4,4,2,3,3,2,4
"Count of Significant correlations","FRNI",3,8,3,10,3,10,3,3,1,1,1,3
"Count of Significant correlations","JUNI",3,3,2,3,3,4,2,4,1,4,0,3
"Count of Significant correlations","LITU",4,4,4,4,4,5,4,5,3,4,0,4
"Count of Significant correlations","PIST",3,0,0,0,1,0,1,1,1,0,1,1
"Count of Significant correlations","QUAL",3,7,3,5,5,8,4,2,2,6,1,6
"Count of Significant correlations","QUPR",3,9,1,10,6,10,3,2,2,5,0,7
"Count of Significant correlations","QURU",3,6,2,7,4,6,3,4,1,4,1,4
"Count of Significant correlations","QUVE",3,4,3,5,4,5,2,3,1,5,0,3
"Sum of absolute significant correlations","All",9.83271284536104,17.3251368227196,8.41648273199008,17.9270210897984,10.904525945905,19.9484339185646,9.52070425005371,10.3028158990792,5.93183149720697,11.7072289133276,2.44037513372383,13.3889459744206
"Sum of absolute significant correlations","CACO",0.787183476536038,2.75880696314233,0.989722255326479,2.35251390290011,1.04304237416521,3.13690292007957,1.00611982996545,0.813182058898987,0.336511763639812,0.814135134824587,0.222721735346381,1.25195569980694
"Sum of absolute significant correlations","CAGL",0.397580393179498,0.635810706715036,0.558330239430404,1.01880827735036,0.449456168898473,1.0683321439115,NA,0.774436268971162,0.249946761030797,0.277685263483337,NA,0.642307425250984
"Sum of absolute significant correlations","CAOV",0.41134275518034,NA,0.232846241991854,0.400554844288285,0.226630593677105,0.214277961970104,0.404018358245348,0.448201508698404,0.274923419302613,0.493911086420332,0.215553793579862,0.491030562811228
"Sum of absolute significant correlations","CATO",0.452478960881873,NA,0.444560921978735,0.224749114462877,0.230712169720277,0.186426746637646,0.48208553480976,0.459108548881495,0.506015976414746,0.489564978970792,0.418362735373463,0.479476677215282
"Sum of absolute significant correlations","FAGR",1.02108635759853,1.63006625971956,1.31033329262168,0.753787641672062,0.987304208407805,1.06967308232549,1.09174716863505,1.07274662360461,0.992795047434435,1.81400002242452,0.223514025437669,1.17350883334389
"Sum of absolute significant correlations","FRAM",0.452702718034756,0.941157881598819,0.39708682502224,0.998271320555211,0.774782760577458,1.03847023947334,0.786839312943137,0.49322918963919,0.730539516613443,0.875529600167849,0.387162404891505,0.89038267146234
"Sum of absolute significant correlations","FRNI",0.858252785706607,2.12646803931425,0.734734269945937,2.80926379932413,0.733365728678035,2.48252697942821,0.840480910193243,0.79295770894192,0.234149287932388,0.174164907490282,0.265021726934348,0.85441332411435
"Sum of absolute significant correlations","JUNI",0.740149570298355,0.880358956007996,0.485012058568923,0.853468538386682,0.709994653736971,1.14775282358775,0.557641134432936,1.01808371703887,0.202295300229903,0.89555838178939,NA,0.920090565767374
"Sum of absolute significant correlations","LITU",1.0232988620363,1.50587566694736,0.866015057006619,1.35257256581825,1.0236806639244,1.817581188491,1.05951519982244,1.3497305340689,0.625592705488032,1.07229842004522,NA,1.3045799588324
"Sum of absolute significant correlations","PIST",0.793554032329495,NA,NA,NA,0.240599768329892,NA,0.305780206499093,0.271177389936056,0.278398127256851,NA,0.26691215533552,0.282797522305563
"Sum of absolute significant correlations","QUAL",0.665035043513922,1.73907592238022,0.695012638100658,1.33693106342842,1.19177494699797,1.99904441495127,0.88768572806941,0.507165837291451,0.537761783938504,1.38706135156846,0.235073862896345,1.41362267734522
"Sum of absolute significant correlations","QUPR",0.722029742300876,2.30119943458133,0.416328200156156,2.69023892025116,1.36462243372459,2.67152595457062,0.724870930141619,0.560636562092143,0.477229139904386,1.24885181189096,NA,1.66783071535631
"Sum of absolute significant correlations","QURU",0.768597629427157,1.59089800163737,0.569616780336139,1.83185096434849,0.967275136261599,1.66248230281093,0.779962533555333,0.96001351648991,0.288485027406958,1.03297320469328,0.206052693928735,1.14232241216542
"Sum of absolute significant correlations","QUVE",0.739420518337286,1.21541899067534,0.71688395150426,1.30401013701234,0.961284338805169,1.45343716032717,0.593957402740901,0.782146434526149,0.197187640614103,1.13149474955861,NA,0.874626928643306
