"Summary_type","Species","PCP","PDSI","PDSI_prewhiten","PHDI","PHDI_prewhiten","PMDI","PMDI_prewhiten","SP01","TAVG","TMAX","TMIN","ZNDX"
"Sum of all absolute correlations","QUVE",0.727414432409433,1.181554937895,0.680175414505475,1.00233317398409,0.791040076062096,1.11650085476858,0.827353907352279,0.802899826954492,0.606076810916601,0.910452512459246,0.163109163068354,0.946973658580776
"Count of Significant correlations","All",19,33,17,30,25,33,17,19,19,27,7,28
"Count of Significant correlations","CACO",1,4,1,4,2,4,0,1,1,1,1,4
"Count of Significant correlations","CAGL",2,2,1,2,2,3,1,2,1,1,1,3
"Count of Significant correlations","CAOV",2,0,1,1,1,1,2,2,1,2,1,2
"Count of Significant correlations","CATO",0,0,0,0,0,0,0,0,2,2,1,0
"Count of Significant correlations","FAGR",2,3,3,2,2,2,2,2,3,3,0,2
"Count of Significant correlations","FRAM",1,4,1,3,2,4,2,1,2,2,1,2
"Count of Significant correlations","FRNI",0,1,0,4,0,2,0,0,0,0,0,0
"Count of Significant correlations","JUNI",4,3,2,2,3,3,2,3,0,2,0,3
"Count of Significant correlations","LITU",3,4,3,4,4,4,3,4,2,3,0,4
"Count of Significant correlations","PIST",0,0,0,0,0,0,0,0,1,0,1,0
"Count of Significant correlations","QUAL",1,3,2,2,3,3,2,1,2,3,1,4
"Count of Significant correlations","QUPR",0,2,0,1,2,2,0,0,1,2,0,0
"Count of Significant correlations","QURU",1,3,1,2,2,2,1,1,2,2,0,2
"Count of Significant correlations","QUVE",2,4,2,3,2,3,2,2,1,4,0,2
"Sum of absolute significant correlations","All",4.73670170005512,9.34732182480317,4.14529927406803,8.58369807389996,6.03138465351608,9.77996192284596,4.46045860476825,5.15266114460372,4.86571685310236,7.30423563135625,1.50032034233555,7.58378238565937
"Sum of absolute significant correlations","CACO",0.225906313271396,0.973359031616173,0.206421226582169,1.0913473750196,0.406098202948377,1.10248340778288,NA,0.235918391951453,0.327093927221038,0.371574217031748,0.224480809176525,0.846232556869469
"Sum of absolute significant correlations","CAGL",0.403018739699323,0.443372064569722,0.213088636553374,0.470740072793564,0.453844919321711,0.686431552956854,0.184803614053897,0.418515071399293,0.255967145328896,0.285981454012591,0.183432620927917,0.651022095007056
"Sum of absolute significant correlations","CAOV",0.413355133861161,NA,0.229699666702533,0.203408270952646,0.217585201132784,0.220774299195742,0.39219169354919,0.456372250931763,0.276859360291307,0.497834737292922,0.217062828516551,0.482957385005159
"Sum of absolute significant correlations","CATO",NA,NA,NA,NA,NA,NA,NA,NA,0.505355724586578,0.497137730700778,0.213866329147159,NA
"Sum of absolute significant correlations","FAGR",0.681103459598845,1.11245578211963,0.94041152448717,0.736326522539069,0.704207446898308,0.832466471070295,0.747534345043069,0.794550254380328,0.806087582539255,0.940351436495445,NA,0.836620062376248
"Sum of absolute significant correlations","FRAM",0.237353230126104,0.952504577155,0.231487215452814,0.798018142565266,0.39405264848471,1.03775825500517,0.364159188376408,0.256781544452972,0.511675183216357,0.590674744788653,0.188415180953334,0.486905247204535
"Sum of absolute significant correlations","FRNI",NA,0.21342432941489,NA,1.03747650147471,NA,0.48057376273645,NA,NA,NA,NA,NA,NA
