"Species","coef","significant","significant2","ci.lower","ci.upper","variable","month"
"CACO",-0.0536582811352427,FALSE,FALSE,-0.264754462645226,0.169692663274708,"Tmax","prev.dec"
"CACO",0.00636790462845353,FALSE,FALSE,-0.208849030481734,0.20914943096085,"Tmax","curr.jan"
"CACO",-0.0807411017836549,FALSE,FALSE,-0.272930634362842,0.108948542038901,"Tmax","curr.feb"
"CACO",-0.172052059689957,FALSE,FALSE,-0.368969403407571,0.0487285908065836,"Tmax","curr.mar"
"CACO",0.118185255669767,FALSE,FALSE,-0.122252257148353,0.347730029182123,"Tmax","curr.apr"
"CACO",-0.148341475375557,FALSE,FALSE,-0.354021390796034,0.051558963691476,"Tmax","curr.may"
"CACO",-0.268982155287954,TRUE,FALSE,-0.448588202975936,-0.0877979667705709,"Tmax","curr.jun"
"CACO",-0.192739811229682,FALSE,FALSE,-0.428992408968516,0.0785373448467902,"Tmax","curr.jul"
"CACO",-0.127027226306718,FALSE,FALSE,-0.301805345651766,0.0708593993468779,"Tmax","curr.aug"
"CACO",-0.057969180688477,FALSE,FALSE,-0.234270720146882,0.111294615803176,"PPT","prev.apr"
"CACO",0.0762576645125496,FALSE,FALSE,-0.12166284510707,0.257261172842825,"PPT","prev.may"
"CACO",-0.0186098838680427,FALSE,FALSE,-0.235635353537494,0.201050938412711,"PPT","prev.jun"
"CACO",0.0931477079671026,FALSE,FALSE,-0.151344761939134,0.29702197815508,"PPT","prev.jul"
"CACO",0.272515459626522,TRUE,FALSE,0.0932267770142875,0.410764948981689,"PPT","prev.aug"
"CACO",0.277237539792464,TRUE,TRUE,0.115949090482204,0.411013232898852,"PPT","prev.sep"
"CACO",0.000846055834580713,FALSE,FALSE,-0.237241472602625,0.217212314196379,"PPT","prev.oct"
"CACO",0.000299324628594014,FALSE,FALSE,-0.213441397819138,0.214633917245598,"PPT","prev.nov"
"CACO",0.0915828275668173,FALSE,FALSE,-0.172872101898889,0.328809343224561,"PPT","prev.dec"
"CACO",-0.0647235562463825,FALSE,FALSE,-0.237830311553073,0.136154996217141,"PPT","curr.jan"
"CACO",0.0207928742278918,FALSE,FALSE,-0.164756008070033,0.198160407309727,"PPT","curr.feb"
"CACO",0.171815479087724,FALSE,FALSE,-0.0897132797615122,0.390836032121204,"PPT","curr.mar"
"CACO",-0.283544023939673,TRUE,FALSE,-0.49038351073924,-0.0620331887382715,"PPT","curr.apr"
"CACO",0.16540678152737,FALSE,FALSE,-0.048524239486657,0.358504851054732,"PPT","curr.may"
"CACO",0.104287955504256,FALSE,FALSE,-0.120669604341178,0.288515337098322,"PPT","curr.jun"
"CACO",0.249895421564865,TRUE,FALSE,0.0220117416769177,0.44612171491149,"PPT","curr.jul"
