"climate.data","type.start","start.year","end.year","variable","mean","sd"
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"PHDI",-0.0609814814814815,2.19387722421097
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"ZNDX",-0.0156574074074074,1.95881916095397
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"PMDI",-0.0730555555555556,2.02848366617425
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"SP01",-0.00540740740740741,1.02179729564305
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"TMIN",42.3948148148148,14.6633021201465
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"TMAX",64.562962962963,15.9226111081945
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"PDSI_prewhiten",-0.00606916503829832,1.07509036316841
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"PHDI_prewhiten",-0.00595251294900246,0.951988488542931
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1920",1920,2009,"PMDI_prewhiten",-0.00682533060268119,1.04360438841951
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"PCP",3.44566666666667,1.78171980390016
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"TAVG",54.0477777777778,15.0369533879978
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"PDSI",0.214555555555556,2.19927446183164
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"PHDI",0.281722222222222,2.37195060486685
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"ZNDX",0.0719166666666667,2.03989183823534
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"PMDI",0.191638888888889,2.20454603305395
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"SP01",0.0568333333333333,1.0649926961707
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"TMIN",43.0338888888889,14.5057943043418
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"TMAX",65.0530555555556,15.6595425212431
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"PDSI_prewhiten",0.0474319900601282,1.15000091734048
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"PHDI_prewhiten",0.0327735310847131,0.991166287748049
"NOAA_PDSI_Northern_Virginia_1895_2017","Going_back_to_1980",1980,2009,"PMDI_prewhiten",0.036498289348146,1.07515798697704
